Feature Name,Theme,Sub Theme,latitude,longitude,distance_km,category_score,distance_score,ranking_score,ranking_reason,source_dataset,ranking_context
Federation Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8178516571684,144.968963600783,0.6991460890621017,3,3,6,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); within 1 km of the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Sandridge Rail Bridge,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8201763042794,144.96298113724,0.7313262083574654,3,3,6,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); within 1 km of the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Flagstaff Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8111222889277,144.954696055235,0.7879905064117922,3,3,6,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); within 1 km of the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Enterprize Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.820210269629,144.959276859602,0.8081137797664953,3,3,6,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); within 1 km of the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Parliament Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.809852620638,144.973462202839,1.0011296046953002,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 1.0 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Birrarung Marr,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.81806108403,144.97314667014,1.012380048253123,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 1.0 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Batman Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8218460949601,144.956665812218,1.0771155401208357,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 1.1 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Alexandra Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8206051404251,144.971796067365,1.0909808091586224,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 1.1 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Carlton Gardens South,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8060684577258,144.971266479841,1.1027457980592237,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 1.1 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Treasury Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8143993575938,144.975952335785,1.1325014008214058,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 1.1 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Queen Victoria Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8216381244891,144.971049530478,1.1342325187214757,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 1.1 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Riverslide Skate Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8207887122448,144.972951789291,1.178072787022435,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 1.2 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Argyle Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8031480577285,144.965761295089,1.1854860939805665,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 1.2 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Lincoln Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8027919689732,144.962760852233,1.202167490409196,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 1.2 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Piazza Italia,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8025164192523,144.965863092947,1.2561158774855212,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 1.3 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
University Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.800410711209,144.960398319302,1.4856641636450498,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 1.5 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
